date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:06	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2023%20May%202014%2020:31:42%20GMT	https://Banklyforextrade.com/icon-fonts/themify.svg?-fvbane	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/themify9f24.svg	(from https://Banklyforextrade.com/css/themify-icons.css)
22:10:07	26568/26568	---M--	200	added ('OK')	font/woff	date:Fri,%2004%20May%202018%2017:47:40%20GMT	https://Banklyforextrade.com/fonts/Futura.woff	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/fonts/Futura.woff	(from https://Banklyforextrade.com/css/style.css)
22:10:11	3297/3297	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2022:00:26%20GMT	https://Banklyforextrade.com/img/process-line.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/process-line.png	(from https://Banklyforextrade.com/css/style.css)
22:10:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2021:10:18%20GMT	https://Banklyforextrade.com/auth/login.php	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/auth/login.php	(from https://Banklyforextrade.com/about.html)
22:10:13	173130/173130	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2014:40:14%20GMT	https://Banklyforextrade.com/img/h.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/h.png	(from https://Banklyforextrade.com/css/style.css)
22:10:14	8256/8256	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202020%2018:25:02%20GMT	https://Banklyforextrade.com/contact.php	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/contact.php	(from https://Banklyforextrade.com/index.html)
22:10:14	66349/66349	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20May%202018%2000:14:40%20GMT	https://Banklyforextrade.com/img/about-img.jpg	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/about-img.jpg	(from https://Banklyforextrade.com/about.html)
22:10:14	86403/86403	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2018:56:12%20GMT	https://Banklyforextrade.com/img/page-info-bg.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/page-info-bg.png	(from https://Banklyforextrade.com/css/style.css)
22:10:16	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/KING%20PC/Desktop/newclient/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://Banklyforextrade.com/auth/dashboard/login-user.php)
22:10:16	10865/10865	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20Mar%202021%2021:10:22%20GMT	https://kit.fontawesome.com/a076d05399.js	C:/Users/KING%20PC/Desktop/newclient/kit.fontawesome.com/a076d05399.js	(from https://Banklyforextrade.com/auth/dashboard/login-user.php)
